split,model,risk_delta,empty_probability_threshold,load_assumption,load_assumption_description,gross_recommended_estimated_opportunity_kwh,safe_estimated_opportunity_kwh,conflict_estimated_kwh,available_actual_empty_estimated_opportunity_kwh,energy_formula,counterfactual_status
test_daily,LightGBM,0.05,0.95,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,189.1003875732422,174.74948120117188,14.35090160369873,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,189.1003875732422,174.74948120117188,14.35090160369873,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,363.7286376953125,326.97491455078125,36.75368881225586,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,141.34603881835938,127.52651977539062,13.819511413574219,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,141.34603881835938,127.52651977539062,13.819511413574219,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,280.054931640625,251.44119262695312,28.61376190185547,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,73.98690032958984,38.30049133300781,35.686405181884766,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,151.8150634765625,64.53170776367188,87.28335571289062,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,276.9161376953125,88.38467407226562,188.531494140625,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,34.491615295410156,32.884971618652344,1.6066404581069946,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,34.491615295410156,32.884971618652344,1.6066404581069946,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,102.51081848144531,97.72738647460938,4.783419609069824,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
