model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,emission_avoided_kg_co2e,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
Historical average,test_daily_threshold_sweep,0.425,4,0.34544573643410853,0.3022440392706872,0.14458235491445823,0.13251961639058413,0.6977559607293128,0.8674803836094158,1426,431,1957.777099609375,2821.494873046875,2821.494873046875,863.7176513671875,2296.60400390625,0.8524661179199502,391.555419921875,995,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.4,4,0.3645833333333333,0.33554817275747506,0.16940623951694062,0.12816041848299914,0.6644518272425249,0.8718395815170009,1505,505,1966.3563232421875,3014.81689453125,3014.81689453125,1048.4605712890625,2296.60400390625,0.8562017308589768,393.2712646484375,1000,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.375,4,0.3645833333333333,0.33554817275747506,0.16940623951694062,0.12816041848299914,0.6644518272425249,0.8718395815170009,1505,505,1966.3563232421875,3014.81689453125,3014.81689453125,1048.4605712890625,2296.60400390625,0.8562017308589768,393.2712646484375,1000,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.35,4,0.39292635658914726,0.36066584463625156,0.19624287151962427,0.0959023539668701,0.6393341553637485,0.9040976460331299,1622,585,2038.0372314453125,3289.6748046875,3289.6748046875,1251.637939453125,2296.60400390625,0.8874134278172701,407.6074462890625,1037,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.325,4,0.4263565891472868,0.39090909090909093,0.2307950352230795,0.06538796861377506,0.6090909090909091,0.934612031386225,1760,688,2076.23291015625,3529.2509765625,3529.2509765625,1453.0181884765625,2296.60400390625,0.9040448012042237,415.24658203125,1072,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.3,4,0.4263565891472868,0.39090909090909093,0.2307950352230795,0.06538796861377506,0.6090909090909091,0.934612031386225,1760,688,2076.23291015625,3529.2509765625,3529.2509765625,1453.0181884765625,2296.60400390625,0.9040448012042237,415.24658203125,1072,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.275,4,0.4321705426356589,0.3968609865470852,0.2375041932237504,0.06190061028770706,0.6031390134529148,0.9380993897122929,1784,708,2076.758544921875,3534.377197265625,3534.377197265625,1457.6187744140625,2296.60400390625,0.9042736759970618,415.351708984375,1076,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.25,4,0.43507751937984496,0.40033407572383073,0.24119423012411942,0.06102877070619006,0.5996659242761693,0.9389712292938099,1796,719,2076.78857421875,3557.18994140625,3557.18994140625,1480.4013671875,2296.60400390625,0.9042867515193651,415.35771484375005,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.225,4,0.43507751937984496,0.40033407572383073,0.24119423012411942,0.06102877070619006,0.5996659242761693,0.9389712292938099,1796,719,2076.78857421875,3557.18994140625,3557.18994140625,1480.4013671875,2296.60400390625,0.9042867515193651,415.35771484375005,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.2,4,0.4367732558139535,0.40266222961730447,0.24354243542435425,0.06102877070619006,0.5973377703826955,0.9389712292938099,1803,726,2076.78857421875,3580.26171875,3580.26171875,1503.47314453125,2296.60400390625,0.9042867515193651,415.35771484375005,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.175,4,0.4629360465116279,0.43223443223443225,0.27708822542770883,0.05405405405405406,0.5677655677655677,0.9459459459459459,1911,826,2097.78271484375,3925.80615234375,3925.80615234375,1828.0233154296875,2296.60400390625,0.9134281361852855,419.55654296875,1085,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.15,4,0.4643895348837209,0.4329681794470527,0.278430057027843,0.05231037489102005,0.5670318205529473,0.9476896251089799,1917,830,2103.946044921875,3939.14599609375,3939.14599609375,1835.1995849609375,2296.60400390625,0.91611180740925,420.789208984375,1087,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.125,4,0.5021802325581395,0.4741919922817173,0.3297551157329755,0.04969485614646905,0.5258080077182827,0.9503051438535309,2073,983,2107.672119140625,4438.916015625,4438.916015625,2331.244384765625,2296.60400390625,0.917734235225457,421.534423828125,1090,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.1,4,0.5893895348837209,0.5437731196054254,0.4438108017443811,0.03225806451612903,0.4562268803945746,0.967741935483871,2433,1323,2151.33154296875,5657.486328125,5657.486328125,3506.154541015625,2296.60400390625,0.9367446626887314,430.26630859375,1110,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.075,4,0.6010174418604651,0.550987505038291,0.45857094934585707,0.02877070619006103,0.449012494961709,0.9712292938099389,2481,1367,2162.72021484375,5854.96826171875,5854.96826171875,3692.248291015625,2296.60400390625,0.9417035810985352,432.54404296875003,1114,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.05,4,0.6763565891472868,0.6006446991404012,0.5625628983562563,0.02789886660854403,0.39935530085959886,0.972101133391456,2792,1677,2166.224853515625,6906.5439453125,6906.5439453125,4740.3193359375,2296.60400390625,0.9432295902258876,433.24497070312503,1115,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.95,4,0.06419573643410853,0.04150943396226415,0.0036900369003690036,0.7785527462946817,0.9584905660377359,0.22144725370531823,265,11,493.92315673828125,537.878173828125,537.878173828125,43.95508575439453,2296.60400390625,0.21506674894678263,98.78463134765626,254,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.925,4,0.09132751937984496,0.05305039787798409,0.006709158000670915,0.6887532693984307,0.946949602122016,0.3112467306015693,377,20,668.3232421875,742.1085205078125,742.1085205078125,73.78524780273438,2296.60400390625,0.2910049974008413,133.6646484375,357,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.9,4,0.11143410852713179,0.07391304347826087,0.011405568601140557,0.6285963382737576,0.9260869565217391,0.3714036617262424,460,34,801.158203125,888.9291381835938,888.9291381835938,87.77088165283203,2296.60400390625,0.3488447297672238,160.231640625,426,test_daily,43,True
