split,model,policy,positive_class,empty_probability_threshold,minimum_empty_window_hours,predicted_empty_window_count,true_empty_window_count,safe_predicted_window_count,conflict_predicted_window_count,window_level_precision,window_level_recall,window_level_occupancy_conflict_rate,average_detected_window_duration_hours,double_counting_policy
validation_daily,Historical average,threshold_sweep,empty,0.75,2.0,27,38,19,8,0.7037037037037037,0.6052631578947368,0.2962962962962963,4.2407407407407405,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.775,2.0,27,38,19,8,0.7037037037037037,0.6052631578947368,0.2962962962962963,4.2407407407407405,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.8,2.0,27,38,20,7,0.7407407407407407,0.6052631578947368,0.25925925925925924,3.1666666666666665,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.825,2.0,16,38,14,2,0.875,0.42105263157894735,0.125,3.875,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.85,2.0,16,38,14,2,0.875,0.42105263157894735,0.125,3.875,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.875,2.0,16,38,14,2,0.875,0.42105263157894735,0.125,3.6875,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.9,2.0,11,38,9,2,0.8181818181818182,0.2894736842105263,0.18181818181818182,3.590909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.925,2.0,11,38,9,2,0.8181818181818182,0.2894736842105263,0.18181818181818182,3.590909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.95,2.0,0,38,0,0,0.0,0.0,0.0,0.0,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.05,4.0,55,19,2,53,0.03636363636363636,0.9473684210526315,0.9636363636363636,11.540909090909091,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.075,4.0,44,19,2,42,0.045454545454545456,0.9473684210526315,0.9545454545454546,11.3125,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.1,4.0,39,19,1,38,0.02564102564102564,0.9473684210526315,0.9743589743589743,11.961538461538462,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.125,4.0,39,19,2,37,0.05128205128205128,0.9473684210526315,0.9487179487179487,10.73076923076923,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.15,4.0,39,19,2,37,0.05128205128205128,0.9473684210526315,0.9487179487179487,10.576923076923077,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.175,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.544871794871796,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.2,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.544871794871796,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.225,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.25,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.506410256410257,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.275,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.166666666666666,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.3,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.051282051282051,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.325,4.0,39,19,3,36,0.07692307692307693,0.8947368421052632,0.9230769230769231,10.051282051282051,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.35,4.0,27,19,3,24,0.1111111111111111,0.8421052631578947,0.8888888888888888,11.574074074074074,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.375,4.0,21,19,3,18,0.14285714285714285,0.7368421052631579,0.8571428571428571,13.380952380952381,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.4,4.0,21,19,3,18,0.14285714285714285,0.7368421052631579,0.8571428571428571,13.380952380952381,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.425,4.0,21,19,3,18,0.14285714285714285,0.7368421052631579,0.8571428571428571,13.047619047619047,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.45,4.0,16,19,2,14,0.125,0.631578947368421,0.875,14.390625,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.475,4.0,16,19,2,14,0.125,0.631578947368421,0.875,14.390625,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.5,4.0,16,19,2,14,0.125,0.631578947368421,0.875,13.453125,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.525,4.0,22,19,5,17,0.22727272727272727,0.5789473684210527,0.7727272727272727,8.738636363636363,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.55,4.0,22,19,5,17,0.22727272727272727,0.5789473684210527,0.7727272727272727,8.397727272727273,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.575,4.0,16,19,5,11,0.3125,0.5789473684210527,0.6875,9.640625,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.6,4.0,16,19,6,10,0.375,0.5789473684210527,0.625,9.078125,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.625,4.0,16,19,6,10,0.375,0.5789473684210527,0.625,9.078125,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.65,4.0,16,19,6,10,0.375,0.5789473684210527,0.625,9.0,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.675,4.0,11,19,5,6,0.45454545454545453,0.5263157894736842,0.5454545454545454,8.454545454545455,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.7,4.0,11,19,5,6,0.45454545454545453,0.5263157894736842,0.5454545454545454,8.454545454545455,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.725,4.0,11,19,6,5,0.5454545454545454,0.5263157894736842,0.45454545454545453,7.636363636363637,non-overlapping daily forecast anchors and disjoint run extraction
