date_local,occ_count_mean,occ_count_max,occupied,empty,wifi_south_total,wifi_south_mean,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,temp_interior_mean,mels_S,lig_S,hvac_S,ele_south_total,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_weekend,is_business_hour,is_holiday
2019-02-18 17:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,11.8,9.81,-7.39,25.62,60.16,23.712266666666665,2.0,2.083333333,25.99285714,30.076190473000004,-0.9914448613738104,-0.13052619222005163,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 17:45:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,11.17,9.52,-7.59,26.32,21.31,23.687133333333335,2.096666667,2.38,24.98,29.456666667,-0.9978589232386035,-0.06540312923014362,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 18:00:00-08:00,3.466666666666667,4.0,1.0,0.0,65.0,32.5,10.23,8.78,-7.0,29.32,4.55,23.6789,2.193333333,3.475,27.09473684,32.763070173,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 18:15:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,8.96,8.39,-6.96,32.04,0.47,23.678800000000003,2.29,3.278,30.78333333,36.35133333,-0.9978589232386036,0.06540312923014237,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 18:30:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,8.06,8.1,-6.6,35.02,0.15,23.6372,2.241666667,2.398,27.56842105,32.208087717,-0.9914448613738104,0.13052619222005213,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 18:45:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,7.84,7.91,-6.6,35.55,0.04,23.5914,2.193333333,1.04,24.66666667,27.900000003000002,-0.9807852804032304,0.1950903220161283,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 19:00:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,8.23,8.28,-7.03,33.48,0.01,23.60183333333333,2.145,0.2,21.51,23.855,-0.9659258262890682,0.25881904510252113,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 19:15:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,8.19,8.37,-7.1,33.39,0.0,23.57473333333333,2.096666667,0.48,22.77722222,25.353888887,-0.9469301294951057,0.3214394653031615,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 19:30:00-08:00,3.0,3.0,1.0,0.0,65.0,32.5,8.04,8.19,-7.23,33.41,0.0,23.503966666666663,2.048333333,1.32,23.8,27.168333333,-0.9238795325112866,0.38268343236509,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 19:45:00-08:00,3.933333333333333,4.0,1.0,0.0,65.0,32.5,7.99,8.17,-7.73,32.25,0.0,23.4956,2.0,0.16,25.175,27.335,-0.8968727415326884,0.442288690219001,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 20:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.75,8.12,-8.09,31.89,0.0,23.437266666666666,1.975,0.2,26.11666667,28.29166667,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 20:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.53,7.91,-8.24,31.99,0.0,23.420599999999997,1.95,0.2,25.6875,27.8375,-0.8314696123025455,0.5555702330196018,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 20:30:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,7.29,7.83,-8.31,32.34,0.0,23.437266666666666,1.925,0.2,24.02352941,26.14852941,-0.7933533402912352,0.6087614290087205,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 20:45:00-08:00,4.133333333333334,5.0,1.0,0.0,65.0,32.5,7.08,7.67,-8.43,32.5,0.0,23.378866666666667,1.9,0.2,28.38421053,30.484210530000002,-0.7518398074789777,0.6593458151000684,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 21:00:00-08:00,5.0,5.0,1.0,0.0,65.0,32.5,6.88,7.38,-8.08,33.86,0.0,23.358066666666666,1.8375,1.02,25.83333333,28.690833329999997,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
2019-02-18 21:15:00-08:00,4.866666666666666,5.0,1.0,0.0,65.0,32.5,6.99,7.65,-8.24,33.21,0.0,23.358066666666666,1.775,0.72,24.36842105,26.86342105,-0.6593458151000687,0.7518398074789775,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0
