historical_average_weight,lightgbm_weight,transformer_weight,validation_auprc_empty,grid_step,selection_split,validation_rank,selected_by_validation
0.15,0.25,0.6,0.7184459694992686,0.05,validation_all_overlapping_forecasts,124,False
0.5,0.35,0.15,0.7184409316184717,0.05,validation_all_overlapping_forecasts,125,False
0.1,0.3,0.6,0.7182584274682582,0.05,validation_all_overlapping_forecasts,126,False
0.2,0.2,0.6,0.7182482363836082,0.05,validation_all_overlapping_forecasts,127,False
0.0,0.45,0.55,0.7181359310453268,0.05,validation_all_overlapping_forecasts,128,False
0.25,0.15,0.6,0.7177662826404689,0.05,validation_all_overlapping_forecasts,129,False
0.35,0.65,0.0,0.7177408801781054,0.05,validation_all_overlapping_forecasts,130,False
0.05,0.35,0.6,0.7176137400665844,0.05,validation_all_overlapping_forecasts,131,False
0.4,0.05,0.55,0.7175621275484845,0.05,validation_all_overlapping_forecasts,132,False
0.55,0.25,0.2,0.7174984623849171,0.05,validation_all_overlapping_forecasts,133,False
0.6,0.1,0.3,0.7173927154397333,0.05,validation_all_overlapping_forecasts,134,False
0.45,0.5,0.05,0.7173304728467259,0.05,validation_all_overlapping_forecasts,135,False
0.6,0.05,0.35,0.7173181058012678,0.05,validation_all_overlapping_forecasts,136,False
0.5,0.4,0.1,0.7171290518147287,0.05,validation_all_overlapping_forecasts,137,False
0.3,0.1,0.6,0.7170096396878299,0.05,validation_all_overlapping_forecasts,138,False
0.55,0.0,0.45,0.716734209601867,0.05,validation_all_overlapping_forecasts,139,False
0.6,0.15,0.25,0.7166427924672224,0.05,validation_all_overlapping_forecasts,140,False
0.4,0.6,0.0,0.7164734402051428,0.05,validation_all_overlapping_forecasts,141,False
0.5,0.0,0.5,0.7164422993116832,0.05,validation_all_overlapping_forecasts,142,False
0.55,0.3,0.15,0.7163737347379022,0.05,validation_all_overlapping_forecasts,143,False
0.0,0.4,0.6,0.7163175189202863,0.05,validation_all_overlapping_forecasts,144,False
0.15,0.2,0.65,0.7160895783379094,0.05,validation_all_overlapping_forecasts,145,False
0.1,0.25,0.65,0.7160547405797465,0.05,validation_all_overlapping_forecasts,146,False
0.6,0.0,0.4,0.7158650721560676,0.05,validation_all_overlapping_forecasts,147,False
0.35,0.05,0.6,0.7157519903683077,0.05,validation_all_overlapping_forecasts,148,False
0.2,0.15,0.65,0.7157232820590362,0.05,validation_all_overlapping_forecasts,149,False
0.5,0.45,0.05,0.7155749910084108,0.05,validation_all_overlapping_forecasts,150,False
0.05,0.3,0.65,0.715523391913312,0.05,validation_all_overlapping_forecasts,151,False
0.6,0.2,0.2,0.7154143862959271,0.05,validation_all_overlapping_forecasts,152,False
0.45,0.0,0.55,0.7152372379811006,0.05,validation_all_overlapping_forecasts,153,False
0.55,0.35,0.1,0.715172974420196,0.05,validation_all_overlapping_forecasts,154,False
0.45,0.55,0.0,0.7150138850592939,0.05,validation_all_overlapping_forecasts,155,False
0.25,0.1,0.65,0.7150131170905718,0.05,validation_all_overlapping_forecasts,156,False
0.65,0.05,0.3,0.7144296572944774,0.05,validation_all_overlapping_forecasts,157,False
0.0,0.35,0.65,0.7143231126459254,0.05,validation_all_overlapping_forecasts,158,False
0.6,0.25,0.15,0.7141903283400586,0.05,validation_all_overlapping_forecasts,159,False
0.65,0.1,0.25,0.7139833795376422,0.05,validation_all_overlapping_forecasts,160,False
0.3,0.05,0.65,0.71380374098621,0.05,validation_all_overlapping_forecasts,161,False
0.65,0.0,0.35,0.71375348573321,0.05,validation_all_overlapping_forecasts,162,False
0.55,0.4,0.05,0.7137151603524173,0.05,validation_all_overlapping_forecasts,163,False
0.4,0.0,0.6,0.7135958080066443,0.05,validation_all_overlapping_forecasts,164,False
0.1,0.2,0.7,0.7135350336551368,0.05,validation_all_overlapping_forecasts,165,False
0.15,0.15,0.7,0.713403890383291,0.05,validation_all_overlapping_forecasts,166,False
0.5,0.5,0.0,0.7133507461765256,0.05,validation_all_overlapping_forecasts,167,False
0.05,0.25,0.7,0.7131422340453195,0.05,validation_all_overlapping_forecasts,168,False
0.65,0.15,0.2,0.7129920977865016,0.05,validation_all_overlapping_forecasts,169,False
0.6,0.3,0.1,0.712962956757917,0.05,validation_all_overlapping_forecasts,170,False
0.2,0.1,0.7,0.7128853520789715,0.05,validation_all_overlapping_forecasts,171,False
0.0,0.3,0.7,0.7120194172191855,0.05,validation_all_overlapping_forecasts,172,False
0.25,0.05,0.7,0.7118743611491817,0.05,validation_all_overlapping_forecasts,173,False
0.35,0.0,0.65,0.7118547979779983,0.05,validation_all_overlapping_forecasts,174,False
0.65,0.2,0.15,0.7118517560835406,0.05,validation_all_overlapping_forecasts,175,False
0.6,0.35,0.05,0.711606267179285,0.05,validation_all_overlapping_forecasts,176,False
0.55,0.45,0.0,0.7115707637932198,0.05,validation_all_overlapping_forecasts,177,False
0.7,0.05,0.25,0.7108441622140249,0.05,validation_all_overlapping_forecasts,178,False
0.7,0.0,0.3,0.7107526677224083,0.05,validation_all_overlapping_forecasts,179,False
0.1,0.15,0.75,0.7107286166390531,0.05,validation_all_overlapping_forecasts,180,False
0.65,0.25,0.1,0.7106292434391307,0.05,validation_all_overlapping_forecasts,181,False
0.15,0.1,0.75,0.7104840172989675,0.05,validation_all_overlapping_forecasts,182,False
0.05,0.2,0.75,0.7104393716009991,0.05,validation_all_overlapping_forecasts,183,False
0.7,0.1,0.2,0.7101840031119446,0.05,validation_all_overlapping_forecasts,184,False
0.3,0.0,0.7,0.7100996300179713,0.05,validation_all_overlapping_forecasts,185,False
0.2,0.05,0.75,0.7097509046134437,0.05,validation_all_overlapping_forecasts,186,False
0.6,0.4,0.0,0.7096761591689201,0.05,validation_all_overlapping_forecasts,187,False
0.0,0.25,0.75,0.7094218291591732,0.05,validation_all_overlapping_forecasts,188,False
0.65,0.3,0.05,0.7091742464125808,0.05,validation_all_overlapping_forecasts,189,False
0.7,0.15,0.15,0.7091446989034499,0.05,validation_all_overlapping_forecasts,190,False
0.25,0.0,0.75,0.7083329996870683,0.05,validation_all_overlapping_forecasts,191,False
0.7,0.2,0.1,0.7080376323949504,0.05,validation_all_overlapping_forecasts,192,False
0.1,0.1,0.8,0.70769493451506,0.05,validation_all_overlapping_forecasts,193,False
0.65,0.35,0.0,0.7074898078997507,0.05,validation_all_overlapping_forecasts,194,False
0.05,0.15,0.8,0.7074657630423858,0.05,validation_all_overlapping_forecasts,195,False
0.15,0.05,0.8,0.7073315481068965,0.05,validation_all_overlapping_forecasts,196,False
0.75,0.0,0.25,0.7069187498690005,0.05,validation_all_overlapping_forecasts,197,False
0.75,0.05,0.2,0.7067783724417125,0.05,validation_all_overlapping_forecasts,198,False
0.7,0.25,0.05,0.7066320670931088,0.05,validation_all_overlapping_forecasts,199,False
0.0,0.2,0.8,0.7065300502075562,0.05,validation_all_overlapping_forecasts,200,False
0.2,0.0,0.8,0.7062561170431204,0.05,validation_all_overlapping_forecasts,201,False
0.75,0.1,0.15,0.7059921908794777,0.05,validation_all_overlapping_forecasts,202,False
0.7,0.3,0.0,0.7050362111306836,0.05,validation_all_overlapping_forecasts,203,False
0.75,0.15,0.1,0.7050044559185694,0.05,validation_all_overlapping_forecasts,204,False
0.1,0.05,0.85,0.7043938618728554,0.05,validation_all_overlapping_forecasts,205,False
0.05,0.1,0.85,0.7041878310039125,0.05,validation_all_overlapping_forecasts,206,False
0.75,0.2,0.05,0.7038299845911605,0.05,validation_all_overlapping_forecasts,207,False
0.15,0.0,0.85,0.7038085230298458,0.05,validation_all_overlapping_forecasts,208,False
0.0,0.15,0.85,0.7032955285951225,0.05,validation_all_overlapping_forecasts,209,False
0.75,0.25,0.0,0.7024480423913314,0.05,validation_all_overlapping_forecasts,210,False
0.8,0.0,0.2,0.7024433238135265,0.05,validation_all_overlapping_forecasts,211,False
0.8,0.05,0.15,0.7021606985884534,0.05,validation_all_overlapping_forecasts,212,False
0.8,0.1,0.1,0.7014174894100141,0.05,validation_all_overlapping_forecasts,213,False
0.1,0.0,0.9,0.7006003624176795,0.05,validation_all_overlapping_forecasts,214,False
0.05,0.05,0.9,0.7005568802575417,0.05,validation_all_overlapping_forecasts,215,False
0.8,0.15,0.05,0.7003579361292342,0.05,validation_all_overlapping_forecasts,216,False
0.0,0.1,0.9,0.6996250147714265,0.05,validation_all_overlapping_forecasts,217,False
0.8,0.2,0.0,0.699459264007087,0.05,validation_all_overlapping_forecasts,218,False
0.85,0.0,0.15,0.6974267380470022,0.05,validation_all_overlapping_forecasts,219,False
0.85,0.05,0.1,0.6969906180947328,0.05,validation_all_overlapping_forecasts,220,False
0.05,0.0,0.95,0.6962205251708796,0.05,validation_all_overlapping_forecasts,221,False
0.85,0.1,0.05,0.6961397773631786,0.05,validation_all_overlapping_forecasts,222,False
0.85,0.15,0.0,0.6955781990206772,0.05,validation_all_overlapping_forecasts,223,False
0.0,0.05,0.95,0.6954072333684548,0.05,validation_all_overlapping_forecasts,224,False
0.9,0.0,0.1,0.6920585279743051,0.05,validation_all_overlapping_forecasts,225,False
0.9,0.1,0.0,0.6916302369476942,0.05,validation_all_overlapping_forecasts,226,False
0.9,0.05,0.05,0.691590195396982,0.05,validation_all_overlapping_forecasts,227,False
0.0,0.0,1.0,0.6904108616416211,0.05,validation_all_overlapping_forecasts,228,False
0.95,0.05,0.0,0.6878797312665704,0.05,validation_all_overlapping_forecasts,229,False
0.95,0.0,0.05,0.6874496936300339,0.05,validation_all_overlapping_forecasts,230,False
1.0,0.0,0.0,0.6700951283624541,0.05,validation_all_overlapping_forecasts,231,False
