model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
LightGBM,test_daily_threshold_sweep,0.85,4,0.1417151162790697,0.1128205128205128,0.022140221402214,0.5475152571926766,0.8871794871794871,0.4524847428073234,585,66,1010.2861328125,1135.6949462890625,1135.6949462890625,125.40885162353516,2296.60400390625,0.4399043679685847,519,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.825,4,0.160610465116279,0.1312217194570135,0.0291848373029184,0.4978204010462075,0.8687782805429864,0.5021795989537925,663,87,1161.90478515625,1310.328857421875,1310.328857421875,148.42384338378906,2296.60400390625,0.5059229989932911,576,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.8,4,0.1741763565891473,0.1390820584144645,0.0335457900033545,0.4603312990409764,0.8609179415855355,0.5396687009590235,719,100,1249.8271484375,1404.6953125,1404.6953125,154.86825561523438,2296.60400390625,0.5442066400266188,619,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.775,4,0.1853197674418604,0.1398692810457516,0.0358939953035894,0.4263295553618134,0.8601307189542484,0.5736704446381866,765,107,1360.60009765625,1517.77197265625,1517.77197265625,157.17202758789062,2296.60400390625,0.5924400093973673,658,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.75,4,0.1935562015503876,0.1451814768460575,0.0389131164038913,0.4045335658238884,0.8548185231539425,0.5954664341761116,799,116,1416.301025390625,1585.090087890625,1585.090087890625,168.78903198242188,2296.60400390625,0.6166936149992187,683,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.725,4,0.1996124031007752,0.145631067961165,0.0402549480040254,0.3862249346120314,0.8543689320388349,0.6137750653879687,824,120,1475.6788330078125,1645.7037353515625,1645.7037353515625,170.02487182617188,2296.60400390625,0.6425482279478127,704,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.7,4,0.2114825581395348,0.1557846506300114,0.0456222744045622,0.3574542284219703,0.8442153493699885,0.6425457715780296,873,136,1545.118896484375,1741.920166015625,1741.920166015625,196.8013153076172,2296.60400390625,0.6727842039186172,737,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.675,4,0.2189922480620155,0.165929203539823,0.0503186850050318,0.3426329555361813,0.834070796460177,0.6573670444638187,904,150,1565.746826171875,1787.796875,1787.796875,222.05007934570312,2296.60400390625,0.6817661309954725,754,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.65,4,0.2214147286821705,0.1684901531728665,0.051660516605166,0.3374019180470793,0.8315098468271335,0.6625980819529207,914,154,1571.4501953125,1800.558837890625,1800.558837890625,229.10867309570312,2296.60400390625,0.6842495234875714,760,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.625,4,0.2262596899224806,0.1755888650963597,0.0550150956055015,0.3286835222319093,0.8244111349036403,0.6713164777680907,934,164,1592.7899169921875,1860.6142578125,1860.6142578125,267.82421875,2296.60400390625,0.6935413829650394,770,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.6,4,0.2366763565891473,0.1975435005117707,0.0647433747064743,0.3164777680906713,0.8024564994882293,0.6835222319093287,977,193,1615.0794677734375,1922.60302734375,1922.60302734375,307.5234680175781,2296.60400390625,0.7032468222760125,784,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.575,4,0.2422480620155038,0.211,0.0707816169070781,0.3121185701830863,0.789,0.6878814298169137,1000,211,1615.4908447265625,1981.665283203125,1981.665283203125,366.1741943359375,2296.60400390625,0.7034259463010623,789,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.55,4,0.2507267441860465,0.2202898550724637,0.0764844012076484,0.2964254577157802,0.7797101449275362,0.7035745422842197,1035,228,1631.83740234375,2024.7589111328125,2024.7589111328125,392.92132568359375,2296.60400390625,0.7105436547041584,807,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.525,4,0.2599321705426357,0.2348555452003727,0.0845353908084535,0.2842197035745423,0.7651444547996272,0.7157802964254577,1073,252,1656.750244140625,2137.86328125,2137.86328125,481.1129455566406,2296.60400390625,0.721391341878134,821,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.5,4,0.2676841085271317,0.23710407239819,0.0878899698087889,0.2650392327811682,0.7628959276018099,0.7349607672188317,1105,262,1682.8162841796875,2207.22412109375,2207.22412109375,524.4078979492188,2296.60400390625,0.7327411610000755,843,test_daily,43,True
