model,threshold,test_occupancy_conflict_rate,recommendation_rate,empty_recall,safe_shiftable_load_kwh,kwh_per_day
DLinear,0.525,0.41476754785779396,0.2657461240310077,0.5597210113339146,1378.4113962420001,32.0560789823721
DLinear,0.55,0.4140550807217474,0.2550872093023256,0.5379250217959896,1357.9132809174998,31.57937862598837
DLinear,0.575,0.4155712841253792,0.23958333333333334,0.5039232781168265,1321.1391237532498,30.72416566868023
DLinear,0.6,0.4040948275862069,0.2248062015503876,0.48212728857890147,1280.986849661,29.790391852581394
DLinear,0.625,0.4054669703872437,0.2126937984496124,0.45510026155187444,1212.7348684925,28.203136476569767
DLinear,0.65,0.3960639606396064,0.19694767441860464,0.4280732345248474,1139.6290763112502,26.503001774680236
DLinear,0.675,0.4048913043478261,0.17829457364341086,0.3818657367044464,1053.7313797425,24.505380924244186
DLinear,0.7,0.41068702290076337,0.15867248062015504,0.3365300784655623,923.492584155,21.476571724534885
DLinear,0.725,0.42936802973977695,0.1303294573643411,0.26765475152571927,745.50278327275,17.337274029598838
DLinear,0.75,0.4646924829157175,0.1063468992248062,0.2048823016564952,528.28527018675,12.285703957831396
DLinear,0.775,0.4752186588921283,0.08309108527131782,0.15693112467306017,387.25423137425,9.005912357540698
DLinear,0.8,0.5526315789473685,0.06443798449612403,0.1037489102005231,254.84342862750003,5.926591363430234
DLinear,0.825,0.556,0.060562015503875966,0.0967741935483871,225.28134529425,5.239101053354651
DLinear,0.85,0.4696132596685083,0.0438468992248062,0.08369659982563209,199.713660393,4.644503730069768
DLinear,0.875,0.43870967741935485,0.0375484496124031,0.07585004359197908,185.0878424105,4.304368428151163
DLinear,0.9,0.4,0.027858527131782947,0.06015693112467306,124.9203797635,2.9051251107790694
DLinear,0.925,0.32967032967032966,0.022044573643410854,0.05318221447253706,107.1734133875,2.4924049625
DLinear,0.95,0.11428571428571428,0.008478682170542635,0.02702702702702703,79.2219053475,1.8423698918023255
